nohup: ignoring input
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:540: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if use_amp else None
[train] Using device: cuda
[load_dataset] Loading dataset from /home/ethanbobrik/explainable-misinfo-ai/data/processed/final_datasets
[load_dataset] Found parquet files, loading from parquet
[train] Using backbone: roberta-base
[tokenize] Added 4 special tokens to tokenizer.
[lora_utils] Applied PEFT LoRA to encoder.
[train] Detected 12 transformer layers
[Phase 1] Head-only training
  Trainable: 397,063 | Frozen: 124,943,616 | Total: 125,340,679
Phase1 Epoch 1/10:  69%|██████▉   | 857/1239 [04:50<01:04,  5.92it/s, Loss=0.7349, Acc=59.11%]
Phase1 Epoch 1/10:  69%|██████▉   | 858/1239 [04:50<01:01,  6.16it/s, Loss=0.7349, Acc=59.11%]
Phase1 Epoch 1/10:  69%|██████▉   | 858/1239 [04:50<01:01,  6.16it/s, Loss=0.7349, Acc=59.10%]
Phase1 Epoch 1/10:  69%|██████▉   | 859/1239 [04:50<01:00,  6.28it/s, Loss=0.7349, Acc=59.10%]
Phase1 Epoch 1/10:  69%|██████▉   | 859/1239 [04:50<01:00,  6.28it/s, Loss=0.7348, Acc=59.11%]
Phase1 Epoch 1/10:  69%|██████▉   | 860/1239 [04:50<01:02,  6.10it/s, Loss=0.7348, Acc=59.11%]
Phase1 Epoch 1/10:  69%|██████▉   | 860/1239 [04:50<01:02,  6.10it/s, Loss=0.7347, Acc=59.11%]
Phase1 Epoch 1/10:  69%|██████▉   | 861/1239 [04:50<01:03,  5.93it/s, Loss=0.7347, Acc=59.11%]
Phase1 Epoch 1/10:  69%|██████▉   | 861/1239 [04:50<01:03,  5.93it/s, Loss=0.7346, Acc=59.11%]
Phase1 Epoch 1/10:  70%|██████▉   | 862/1239 [04:50<01:01,  6.12it/s, Loss=0.7346, Acc=59.11%]
Phase1 Epoch 1/10:  70%|██████▉   | 862/1239 [04:50<01:01,  6.12it/s, Loss=0.7344, Acc=59.14%]
Phase1 Epoch 1/10:  70%|██████▉   | 863/1239 [04:50<01:00,  6.26it/s, Loss=0.7344, Acc=59.14%]
Phase1 Epoch 1/10:  70%|██████▉   | 863/1239 [04:51<01:00,  6.26it/s, Loss=0.7342, Acc=59.15%]
Phase1 Epoch 1/10:  70%|██████▉   | 864/1239 [04:51<01:01,  6.08it/s, Loss=0.7342, Acc=59.15%]
Phase1 Epoch 1/10:  70%|██████▉   | 864/1239 [04:51<01:01,  6.08it/s, Loss=0.7340, Acc=59.17%]
Phase1 Epoch 1/10:  70%|██████▉   | 865/1239 [04:51<01:03,  5.92it/s, Loss=0.7340, Acc=59.17%]
Phase1 Epoch 1/10:  70%|██████▉   | 865/1239 [04:51<01:03,  5.92it/s, Loss=0.7338, Acc=59.20%]
Phase1 Epoch 1/10:  70%|██████▉   | 866/1239 [04:51<01:02,  5.97it/s, Loss=0.7338, Acc=59.20%]
Phase1 Epoch 1/10:  70%|██████▉   | 866/1239 [04:51<01:02,  5.97it/s, Loss=0.7336, Acc=59.20%]
Phase1 Epoch 1/10:  70%|██████▉   | 867/1239 [04:51<00:59,  6.22it/s, Loss=0.7336, Acc=59.20%]
Phase1 Epoch 1/10:  70%|██████▉   | 867/1239 [04:51<00:59,  6.22it/s, Loss=0.7335, Acc=59.21%]
Phase1 Epoch 1/10:  70%|███████   | 868/1239 [04:51<01:01,  6.07it/s, Loss=0.7335, Acc=59.21%]
Phase1 Epoch 1/10:  70%|███████   | 868/1239 [04:51<01:01,  6.07it/s, Loss=0.7334, Acc=59.22%]
Phase1 Epoch 1/10:  70%|███████   | 869/1239 [04:51<01:02,  5.91it/s, Loss=0.7334, Acc=59.22%]
Phase1 Epoch 1/10:  70%|███████   | 869/1239 [04:51<01:02,  5.91it/s, Loss=0.7333, Acc=59.21%]
Phase1 Epoch 1/10:  70%|███████   | 870/1239 [04:51<01:00,  6.09it/s, Loss=0.7333, Acc=59.21%]
Phase1 Epoch 1/10:  70%|███████   | 870/1239 [04:52<01:00,  6.09it/s, Loss=0.7330, Acc=59.23%]
Phase1 Epoch 1/10:  70%|███████   | 871/1239 [04:52<00:58,  6.26it/s, Loss=0.7330, Acc=59.23%]
Phase1 Epoch 1/10:  70%|███████   | 871/1239 [04:52<00:58,  6.26it/s, Loss=0.7328, Acc=59.24%]
Phase1 Epoch 1/10:  70%|███████   | 872/1239 [04:52<01:00,  6.09it/s, Loss=0.7328, Acc=59.24%]
Phase1 Epoch 1/10:  70%|███████   | 872/1239 [04:52<01:00,  6.09it/s, Loss=0.7327, Acc=59.25%]
Phase1 Epoch 1/10:  70%|███████   | 873/1239 [04:52<01:01,  5.93it/s, Loss=0.7327, Acc=59.25%]
Phase1 Epoch 1/10:  70%|███████   | 873/1239 [04:52<01:01,  5.93it/s, Loss=0.7328, Acc=59.23%]
Phase1 Epoch 1/10:  71%|███████   | 874/1239 [04:52<00:59,  6.09it/s, Loss=0.7328, Acc=59.23%]
Phase1 Epoch 1/10:  71%|███████   | 874/1239 [04:52<00:59,  6.09it/s, Loss=0.7329, Acc=59.22%]
Phase1 Epoch 1/10:  71%|███████   | 875/1239 [04:52<00:57,  6.30it/s, Loss=0.7329, Acc=59.22%]
Phase1 Epoch 1/10:  71%|███████   | 875/1239 [04:52<00:57,  6.30it/s, Loss=0.7326, Acc=59.24%]
Phase1 Epoch 1/10:  71%|███████   | 876/1239 [04:52<00:59,  6.12it/s, Loss=0.7326, Acc=59.24%]
Phase1 Epoch 1/10:  71%|███████   | 876/1239 [04:53<00:59,  6.12it/s, Loss=0.7325, Acc=59.26%]
Phase1 Epoch 1/10:  71%|███████   | 877/1239 [04:53<01:00,  5.94it/s, Loss=0.7325, Acc=59.26%]
Phase1 Epoch 1/10:  71%|███████   | 877/1239 [04:53<01:00,  5.94it/s, Loss=0.7323, Acc=59.27%]
Phase1 Epoch 1/10:  71%|███████   | 878/1239 [04:53<00:59,  6.04it/s, Loss=0.7323, Acc=59.27%]
Phase1 Epoch 1/10:  71%|███████   | 878/1239 [04:53<00:59,  6.04it/s, Loss=0.7321, Acc=59.28%]
Phase1 Epoch 1/10:  71%|███████   | 879/1239 [04:53<00:57,  6.28it/s, Loss=0.7321, Acc=59.28%]
Phase1 Epoch 1/10:  71%|███████   | 879/1239 [04:53<00:57,  6.28it/s, Loss=0.7321, Acc=59.28%]
Phase1 Epoch 1/10:  71%|███████   | 880/1239 [04:53<00:58,  6.11it/s, Loss=0.7321, Acc=59.28%]
Phase1 Epoch 1/10:  71%|███████   | 880/1239 [04:53<00:58,  6.11it/s, Loss=0.7319, Acc=59.29%]
Phase1 Epoch 1/10:  71%|███████   | 881/1239 [04:53<01:00,  5.95it/s, Loss=0.7319, Acc=59.29%]
Phase1 Epoch 1/10:  71%|███████   | 881/1239 [04:53<01:00,  5.95it/s, Loss=0.7318, Acc=59.30%]
Phase1 Epoch 1/10:  71%|███████   | 882/1239 [04:53<00:58,  6.09it/s, Loss=0.7318, Acc=59.30%]
Phase1 Epoch 1/10:  71%|███████   | 882/1239 [04:54<00:58,  6.09it/s, Loss=0.7317, Acc=59.31%]
Phase1 Epoch 1/10:  71%|███████▏  | 883/1239 [04:54<00:56,  6.30it/s, Loss=0.7317, Acc=59.31%]
Phase1 Epoch 1/10:  71%|███████▏  | 883/1239 [04:54<00:56,  6.30it/s, Loss=0.7316, Acc=59.33%]
Phase1 Epoch 1/10:  71%|███████▏  | 884/1239 [04:54<00:58,  6.11it/s, Loss=0.7316, Acc=59.33%]
Phase1 Epoch 1/10:  71%|███████▏  | 884/1239 [04:54<00:58,  6.11it/s, Loss=0.7316, Acc=59.31%]
Phase1 Epoch 1/10:  71%|███████▏  | 885/1239 [04:54<00:59,  5.94it/s, Loss=0.7316, Acc=59.31%]
Phase1 Epoch 1/10:  71%|███████▏  | 885/1239 [04:54<00:59,  5.94it/s, Loss=0.7316, Acc=59.30%]
Phase1 Epoch 1/10:  72%|███████▏  | 886/1239 [04:54<00:58,  6.05it/s, Loss=0.7316, Acc=59.30%]
Phase1 Epoch 1/10:  72%|███████▏  | 886/1239 [04:54<00:58,  6.05it/s, Loss=0.7316, Acc=59.31%]
Phase1 Epoch 1/10:  72%|███████▏  | 887/1239 [04:54<00:56,  6.27it/s, Loss=0.7316, Acc=59.31%]
Phase1 Epoch 1/10:  72%|███████▏  | 887/1239 [04:54<00:56,  6.27it/s, Loss=0.7315, Acc=59.31%]
Phase1 Epoch 1/10:  72%|███████▏  | 888/1239 [04:54<00:57,  6.10it/s, Loss=0.7315, Acc=59.31%]
Phase1 Epoch 1/10:  72%|███████▏  | 888/1239 [04:55<00:57,  6.10it/s, Loss=0.7313, Acc=59.33%]
Phase1 Epoch 1/10:  72%|███████▏  | 889/1239 [04:55<00:59,  5.92it/s, Loss=0.7313, Acc=59.33%]
Phase1 Epoch 1/10:  72%|███████▏  | 889/1239 [04:55<00:59,  5.92it/s, Loss=0.7312, Acc=59.35%]
Phase1 Epoch 1/10:  72%|███████▏  | 890/1239 [04:55<00:58,  6.01it/s, Loss=0.7312, Acc=59.35%]
Phase1 Epoch 1/10:  72%|███████▏  | 890/1239 [04:55<00:58,  6.01it/s, Loss=0.7311, Acc=59.36%]
Phase1 Epoch 1/10:  72%|███████▏  | 891/1239 [04:55<00:55,  6.24it/s, Loss=0.7311, Acc=59.36%]
Phase1 Epoch 1/10:  72%|███████▏  | 891/1239 [04:55<00:55,  6.24it/s, Loss=0.7309, Acc=59.38%]
Phase1 Epoch 1/10:  72%|███████▏  | 892/1239 [04:55<00:57,  6.08it/s, Loss=0.7309, Acc=59.38%]
Phase1 Epoch 1/10:  72%|███████▏  | 892/1239 [04:55<00:57,  6.08it/s, Loss=0.7310, Acc=59.38%]
Phase1 Epoch 1/10:  72%|███████▏  | 893/1239 [04:55<00:58,  5.93it/s, Loss=0.7310, Acc=59.38%]
Phase1 Epoch 1/10:  72%|███████▏  | 893/1239 [04:55<00:58,  5.93it/s, Loss=0.7310, Acc=59.38%]
Phase1 Epoch 1/10:  72%|███████▏  | 894/1239 [04:55<00:56,  6.08it/s, Loss=0.7310, Acc=59.38%]
Phase1 Epoch 1/10:  72%|███████▏  | 894/1239 [04:56<00:56,  6.08it/s, Loss=0.7308, Acc=59.39%]
Phase1 Epoch 1/10:  72%|███████▏  | 895/1239 [04:56<00:55,  6.25it/s, Loss=0.7308, Acc=59.39%]
Phase1 Epoch 1/10:  72%|███████▏  | 895/1239 [04:56<00:55,  6.25it/s, Loss=0.7308, Acc=59.39%]
Phase1 Epoch 1/10:  72%|███████▏  | 896/1239 [04:56<00:56,  6.07it/s, Loss=0.7308, Acc=59.39%]
Phase1 Epoch 1/10:  72%|███████▏  | 896/1239 [04:56<00:56,  6.07it/s, Loss=0.7306, Acc=59.40%]
Phase1 Epoch 1/10:  72%|███████▏  | 897/1239 [04:56<00:57,  5.93it/s, Loss=0.7306, Acc=59.40%]
Phase1 Epoch 1/10:  72%|███████▏  | 897/1239 [04:56<00:57,  5.93it/s, Loss=0.7304, Acc=59.42%]
Phase1 Epoch 1/10:  72%|███████▏  | 898/1239 [04:56<00:56,  6.01it/s, Loss=0.7304, Acc=59.42%]
Phase1 Epoch 1/10:  72%|███████▏  | 898/1239 [04:56<00:56,  6.01it/s, Loss=0.7303, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 899/1239 [04:56<00:54,  6.25it/s, Loss=0.7303, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 899/1239 [04:56<00:54,  6.25it/s, Loss=0.7303, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 900/1239 [04:56<00:55,  6.10it/s, Loss=0.7303, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 900/1239 [04:57<00:55,  6.10it/s, Loss=0.7303, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 901/1239 [04:57<00:57,  5.88it/s, Loss=0.7303, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 901/1239 [04:57<00:57,  5.88it/s, Loss=0.7302, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 902/1239 [04:57<00:55,  6.09it/s, Loss=0.7302, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 902/1239 [04:57<00:55,  6.09it/s, Loss=0.7300, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 903/1239 [04:57<00:53,  6.25it/s, Loss=0.7300, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 903/1239 [04:57<00:53,  6.25it/s, Loss=0.7299, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 904/1239 [04:57<00:55,  6.07it/s, Loss=0.7299, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 904/1239 [04:57<00:55,  6.07it/s, Loss=0.7300, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 905/1239 [04:57<00:56,  5.91it/s, Loss=0.7300, Acc=59.42%]
Phase1 Epoch 1/10:  73%|███████▎  | 905/1239 [04:57<00:56,  5.91it/s, Loss=0.7298, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 906/1239 [04:57<00:55,  6.00it/s, Loss=0.7298, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 906/1239 [04:58<00:55,  6.00it/s, Loss=0.7296, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 907/1239 [04:58<00:53,  6.23it/s, Loss=0.7296, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 907/1239 [04:58<00:53,  6.23it/s, Loss=0.7296, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 908/1239 [04:58<00:54,  6.07it/s, Loss=0.7296, Acc=59.43%]
Phase1 Epoch 1/10:  73%|███████▎  | 908/1239 [04:58<00:54,  6.07it/s, Loss=0.7295, Acc=59.44%]
Phase1 Epoch 1/10:  73%|███████▎  | 909/1239 [04:58<00:55,  5.92it/s, Loss=0.7295, Acc=59.44%]
Phase1 Epoch 1/10:  73%|███████▎  | 909/1239 [04:58<00:55,  5.92it/s, Loss=0.7295, Acc=59.44%]
Phase1 Epoch 1/10:  73%|███████▎  | 910/1239 [04:58<00:54,  6.08it/s, Loss=0.7295, Acc=59.44%]
Phase1 Epoch 1/10:  73%|███████▎  | 910/1239 [04:58<00:54,  6.08it/s, Loss=0.7294, Acc=59.45%]
Phase1 Epoch 1/10:  74%|███████▎  | 911/1239 [04:58<00:52,  6.24it/s, Loss=0.7294, Acc=59.45%]
Phase1 Epoch 1/10:  74%|███████▎  | 911/1239 [04:58<00:52,  6.24it/s, Loss=0.7294, Acc=59.45%]
Phase1 Epoch 1/10:  74%|███████▎  | 912/1239 [04:58<00:53,  6.07it/s, Loss=0.7294, Acc=59.45%]
Phase1 Epoch 1/10:  74%|███████▎  | 912/1239 [04:59<00:53,  6.07it/s, Loss=0.7292, Acc=59.46%]
Phase1 Epoch 1/10:  74%|███████▎  | 913/1239 [04:59<00:56,  5.81it/s, Loss=0.7292, Acc=59.46%]
Phase1 Epoch 1/10:  74%|███████▎  | 913/1239 [04:59<00:56,  5.81it/s, Loss=0.7292, Acc=59.47%]
Phase1 Epoch 1/10:  74%|███████▍  | 914/1239 [04:59<00:53,  6.13it/s, Loss=0.7292, Acc=59.47%]
Phase1 Epoch 1/10:  74%|███████▍  | 914/1239 [04:59<00:53,  6.13it/s, Loss=0.7291, Acc=59.48%]
Phase1 Epoch 1/10:  74%|███████▍  | 915/1239 [04:59<00:52,  6.12it/s, Loss=0.7291, Acc=59.48%]
Phase1 Epoch 1/10:  74%|███████▍  | 915/1239 [04:59<00:52,  6.12it/s, Loss=0.7290, Acc=59.49%]
Phase1 Epoch 1/10:  74%|███████▍  | 916/1239 [04:59<00:53,  6.05it/s, Loss=0.7290, Acc=59.49%]
Phase1 Epoch 1/10:  74%|███████▍  | 916/1239 [04:59<00:53,  6.05it/s, Loss=0.7290, Acc=59.50%]
Phase1 Epoch 1/10:  74%|███████▍  | 917/1239 [04:59<00:55,  5.79it/s, Loss=0.7290, Acc=59.50%]
Phase1 Epoch 1/10:  74%|███████▍  | 917/1239 [04:59<00:55,  5.79it/s, Loss=0.7289, Acc=59.50%]
Phase1 Epoch 1/10:  74%|███████▍  | 918/1239 [04:59<00:50,  6.31it/s, Loss=0.7289, Acc=59.50%]
Phase1 Epoch 1/10:  74%|███████▍  | 918/1239 [05:00<00:50,  6.31it/s, Loss=0.7287, Acc=59.52%]
Phase1 Epoch 1/10:  74%|███████▍  | 919/1239 [05:00<00:52,  6.06it/s, Loss=0.7287, Acc=59.52%]
Phase1 Epoch 1/10:  74%|███████▍  | 919/1239 [05:00<00:52,  6.06it/s, Loss=0.7287, Acc=59.51%]
Phase1 Epoch 1/10:  74%|███████▍  | 920/1239 [05:00<00:53,  6.01it/s, Loss=0.7287, Acc=59.51%]
Phase1 Epoch 1/10:  74%|███████▍  | 920/1239 [05:00<00:53,  6.01it/s, Loss=0.7286, Acc=59.51%]
Phase1 Epoch 1/10:  74%|███████▍  | 921/1239 [05:00<00:55,  5.77it/s, Loss=0.7286, Acc=59.51%]
Phase1 Epoch 1/10:  74%|███████▍  | 921/1239 [05:00<00:55,  5.77it/s, Loss=0.7286, Acc=59.52%]
Phase1 Epoch 1/10:  74%|███████▍  | 922/1239 [05:00<00:51,  6.19it/s, Loss=0.7286, Acc=59.52%]
Phase1 Epoch 1/10:  74%|███████▍  | 922/1239 [05:00<00:51,  6.19it/s, Loss=0.7284, Acc=59.52%]
Phase1 Epoch 1/10:  74%|███████▍  | 923/1239 [05:00<00:52,  5.97it/s, Loss=0.7284, Acc=59.52%]
Phase1 Epoch 1/10:  74%|███████▍  | 923/1239 [05:00<00:52,  5.97it/s, Loss=0.7282, Acc=59.54%]
Phase1 Epoch 1/10:  75%|███████▍  | 924/1239 [05:00<00:53,  5.91it/s, Loss=0.7282, Acc=59.54%]
Phase1 Epoch 1/10:  75%|███████▍  | 924/1239 [05:01<00:53,  5.91it/s, Loss=0.7281, Acc=59.55%]
Phase1 Epoch 1/10:  75%|███████▍  | 925/1239 [05:01<00:53,  5.82it/s, Loss=0.7281, Acc=59.55%]
Phase1 Epoch 1/10:  75%|███████▍  | 925/1239 [05:01<00:53,  5.82it/s, Loss=0.7280, Acc=59.56%]
Phase1 Epoch 1/10:  75%|███████▍  | 926/1239 [05:01<00:50,  6.15it/s, Loss=0.7280, Acc=59.56%]
Phase1 Epoch 1/10:  75%|███████▍  | 926/1239 [05:01<00:50,  6.15it/s, Loss=0.7279, Acc=59.57%]
Phase1 Epoch 1/10:  75%|███████▍  | 927/1239 [05:01<00:52,  5.97it/s, Loss=0.7279, Acc=59.57%]
Phase1 Epoch 1/10:  75%|███████▍  | 927/1239 [05:01<00:52,  5.97it/s, Loss=0.7278, Acc=59.57%]
Phase1 Epoch 1/10:  75%|███████▍  | 928/1239 [05:01<00:53,  5.83it/s, Loss=0.7278, Acc=59.57%]
Phase1 Epoch 1/10:  75%|███████▍  | 928/1239 [05:01<00:53,  5.83it/s, Loss=0.7277, Acc=59.57%]
Phase1 Epoch 1/10:  75%|███████▍  | 929/1239 [05:01<00:52,  5.95it/s, Loss=0.7277, Acc=59.57%]
Phase1 Epoch 1/10:  75%|███████▍  | 929/1239 [05:01<00:52,  5.95it/s, Loss=0.7274, Acc=59.59%]
Phase1 Epoch 1/10:  75%|███████▌  | 930/1239 [05:01<00:49,  6.21it/s, Loss=0.7274, Acc=59.59%]
Phase1 Epoch 1/10:  75%|███████▌  | 930/1239 [05:02<00:49,  6.21it/s, Loss=0.7273, Acc=59.61%]
Phase1 Epoch 1/10:  75%|███████▌  | 931/1239 [05:02<00:50,  6.06it/s, Loss=0.7273, Acc=59.61%]
Phase1 Epoch 1/10:  75%|███████▌  | 931/1239 [05:02<00:50,  6.06it/s, Loss=0.7274, Acc=59.59%]
Phase1 Epoch 1/10:  75%|███████▌  | 932/1239 [05:02<00:52,  5.85it/s, Loss=0.7274, Acc=59.59%]
Phase1 Epoch 1/10:  75%|███████▌  | 932/1239 [05:02<00:52,  5.85it/s, Loss=0.7272, Acc=59.61%]
Phase1 Epoch 1/10:  75%|███████▌  | 933/1239 [05:02<00:49,  6.21it/s, Loss=0.7272, Acc=59.61%]
Phase1 Epoch 1/10:  75%|███████▌  | 933/1239 [05:02<00:49,  6.21it/s, Loss=0.7271, Acc=59.61%]
Phase1 Epoch 1/10:  75%|███████▌  | 934/1239 [05:02<00:49,  6.18it/s, Loss=0.7271, Acc=59.61%]
Phase1 Epoch 1/10:  75%|███████▌  | 934/1239 [05:02<00:49,  6.18it/s, Loss=0.7268, Acc=59.63%]
Phase1 Epoch 1/10:  75%|███████▌  | 935/1239 [05:02<00:49,  6.09it/s, Loss=0.7268, Acc=59.63%]
Phase1 Epoch 1/10:  75%|███████▌  | 935/1239 [05:02<00:49,  6.09it/s, Loss=0.7267, Acc=59.64%]
Phase1 Epoch 1/10:  76%|███████▌  | 936/1239 [05:02<00:51,  5.93it/s, Loss=0.7267, Acc=59.64%]
Phase1 Epoch 1/10:  76%|███████▌  | 936/1239 [05:03<00:51,  5.93it/s, Loss=0.7266, Acc=59.64%]
Phase1 Epoch 1/10:  76%|███████▌  | 937/1239 [05:03<00:48,  6.25it/s, Loss=0.7266, Acc=59.64%]
Phase1 Epoch 1/10:  76%|███████▌  | 937/1239 [05:03<00:48,  6.25it/s, Loss=0.7266, Acc=59.63%]
Phase1 Epoch 1/10:  76%|███████▌  | 938/1239 [05:03<00:47,  6.29it/s, Loss=0.7266, Acc=59.63%]
Phase1 Epoch 1/10:  76%|███████▌  | 938/1239 [05:03<00:47,  6.29it/s, Loss=0.7267, Acc=59.62%]
Phase1 Epoch 1/10:  76%|███████▌  | 939/1239 [05:03<00:49,  6.12it/s, Loss=0.7267, Acc=59.62%]
Phase1 Epoch 1/10:  76%|███████▌  | 939/1239 [05:03<00:49,  6.12it/s, Loss=0.7267, Acc=59.62%]
Phase1 Epoch 1/10:  76%|███████▌  | 940/1239 [05:03<00:50,  5.94it/s, Loss=0.7267, Acc=59.62%]
Phase1 Epoch 1/10:  76%|███████▌  | 940/1239 [05:03<00:50,  5.94it/s, Loss=0.7265, Acc=59.63%]
Phase1 Epoch 1/10:  76%|███████▌  | 941/1239 [05:03<00:48,  6.16it/s, Loss=0.7265, Acc=59.63%]
Phase1 Epoch 1/10:  76%|███████▌  | 941/1239 [05:03<00:48,  6.16it/s, Loss=0.7264, Acc=59.65%]
Phase1 Epoch 1/10:  76%|███████▌  | 942/1239 [05:03<00:47,  6.28it/s, Loss=0.7264, Acc=59.65%]
Phase1 Epoch 1/10:  76%|███████▌  | 942/1239 [05:04<00:47,  6.28it/s, Loss=0.7264, Acc=59.63%]
Phase1 Epoch 1/10:  76%|███████▌  | 943/1239 [05:04<00:48,  6.11it/s, Loss=0.7264, Acc=59.63%]
Phase1 Epoch 1/10:  76%|███████▌  | 943/1239 [05:04<00:48,  6.11it/s, Loss=0.7263, Acc=59.64%]
Phase1 Epoch 1/10:  76%|███████▌  | 944/1239 [05:04<00:49,  5.95it/s, Loss=0.7263, Acc=59.64%]
Phase1 Epoch 1/10:  76%|███████▌  | 944/1239 [05:04<00:49,  5.95it/s, Loss=0.7261, Acc=59.65%]
Phase1 Epoch 1/10:  76%|███████▋  | 945/1239 [05:04<00:47,  6.16it/s, Loss=0.7261, Acc=59.65%]
Phase1 Epoch 1/10:  76%|███████▋  | 945/1239 [05:04<00:47,  6.16it/s, Loss=0.7260, Acc=59.65%]
Phase1 Epoch 1/10:  76%|███████▋  | 946/1239 [05:04<00:46,  6.31it/s, Loss=0.7260, Acc=59.65%]
Phase1 Epoch 1/10:  76%|███████▋  | 946/1239 [05:04<00:46,  6.31it/s, Loss=0.7258, Acc=59.67%]
Phase1 Epoch 1/10:  76%|███████▋  | 947/1239 [05:04<00:47,  6.13it/s, Loss=0.7258, Acc=59.67%]
Phase1 Epoch 1/10:  76%|███████▋  | 947/1239 [05:04<00:47,  6.13it/s, Loss=0.7257, Acc=59.69%]
Phase1 Epoch 1/10:  77%|███████▋  | 948/1239 [05:04<00:49,  5.89it/s, Loss=0.7257, Acc=59.69%]
Phase1 Epoch 1/10:  77%|███████▋  | 948/1239 [05:05<00:49,  5.89it/s, Loss=0.7256, Acc=59.67%]
Phase1 Epoch 1/10:  77%|███████▋  | 949/1239 [05:05<00:46,  6.21it/s, Loss=0.7256, Acc=59.67%]
Phase1 Epoch 1/10:  77%|███████▋  | 949/1239 [05:05<00:46,  6.21it/s, Loss=0.7256, Acc=59.68%]
Phase1 Epoch 1/10:  77%|███████▋  | 950/1239 [05:05<00:46,  6.23it/s, Loss=0.7256, Acc=59.68%]
Phase1 Epoch 1/10:  77%|███████▋  | 950/1239 [05:05<00:46,  6.23it/s, Loss=0.7255, Acc=59.68%]
Phase1 Epoch 1/10:  77%|███████▋  | 951/1239 [05:05<00:47,  6.11it/s, Loss=0.7255, Acc=59.68%]
Phase1 Epoch 1/10:  77%|███████▋  | 951/1239 [05:05<00:47,  6.11it/s, Loss=0.7255, Acc=59.68%]
Phase1 Epoch 1/10:  77%|███████▋  | 952/1239 [05:05<00:48,  5.90it/s, Loss=0.7255, Acc=59.68%]
Phase1 Epoch 1/10:  77%|███████▋  | 952/1239 [05:05<00:48,  5.90it/s, Loss=0.7253, Acc=59.69%]
Phase1 Epoch 1/10:  77%|███████▋  | 953/1239 [05:05<00:46,  6.14it/s, Loss=0.7253, Acc=59.69%]
Phase1 Epoch 1/10:  77%|███████▋  | 953/1239 [05:05<00:46,  6.14it/s, Loss=0.7252, Acc=59.70%]
Phase1 Epoch 1/10:  77%|███████▋  | 954/1239 [05:05<00:45,  6.32it/s, Loss=0.7252, Acc=59.70%]
Phase1 Epoch 1/10:  77%|███████▋  | 954/1239 [05:05<00:45,  6.32it/s, Loss=0.7252, Acc=59.69%]
Phase1 Epoch 1/10:  77%|███████▋  | 955/1239 [05:05<00:45,  6.18it/s, Loss=0.7252, Acc=59.69%]
Phase1 Epoch 1/10:  77%|███████▋  | 955/1239 [05:06<00:45,  6.18it/s, Loss=0.7251, Acc=59.70%]
Phase1 Epoch 1/10:  77%|███████▋  | 956/1239 [05:06<00:47,  5.92it/s, Loss=0.7251, Acc=59.70%]
Phase1 Epoch 1/10:  77%|███████▋  | 956/1239 [05:06<00:47,  5.92it/s, Loss=0.7249, Acc=59.71%]
Phase1 Epoch 1/10:  77%|███████▋  | 957/1239 [05:06<00:44,  6.29it/s, Loss=0.7249, Acc=59.71%]
Phase1 Epoch 1/10:  77%|███████▋  | 957/1239 [05:06<00:44,  6.29it/s, Loss=0.7247, Acc=59.73%]
Phase1 Epoch 1/10:  77%|███████▋  | 958/1239 [05:06<00:44,  6.25it/s, Loss=0.7247, Acc=59.73%]
Phase1 Epoch 1/10:  77%|███████▋  | 958/1239 [05:06<00:44,  6.25it/s, Loss=0.7245, Acc=59.74%]
Phase1 Epoch 1/10:  77%|███████▋  | 959/1239 [05:06<00:45,  6.13it/s, Loss=0.7245, Acc=59.74%]
